Area Type ,Area Name ,Date,Year ,Month,Seasonally Adjusted (Y/N) ,Status (Preliminary / Final) ,Labor Force,Employment ,Unemployment ,Unemployment Rate 
County,Napa County,01/01/1990,1990,January,N,Final,54700,52500,2200,0.04
County,Nevada County,01/01/1990,1990,January,N,Final,34960,32940,2020,0.058
County,Orange County,01/01/1990,1990,January,N,Final,1350100,1310700,39500,0.029
County,Placer County,01/01/1990,1990,January,N,Final,87900,84000,3900,0.044
County,Plumas County,01/01/1990,1990,January,N,Final,9050,7580,1470,0.162
County,Riverside County,01/01/1990,1990,January,N,Final,521700,493900,27800,0.053
County,Sacramento County,01/01/1990,1990,January,N,Final,512200,488200,24000,0.047
County,San Benito County,01/01/1990,1990,January,N,Final,19400,17000,2500,0.128
County,San Bernardino County,01/01/1990,1990,January,N,Final,623600,594300,29300,0.047
County,San Diego County,01/01/1990,1990,January,N,Final,1201200,1153200,47900,0.04
County,San Francisco County,01/01/1990,1990,January,N,Final,409600,394500,15100,0.037
County,San Joaquin County,01/01/1990,1990,January,N,Final,216700,193400,23300,0.107
County,San Luis Obispo County,01/01/1990,1990,January,N,Final,96700,92600,4100,0.042
County,San Mateo County,01/01/1990,1990,January,N,Final,370300,361000,9300,0.025
County,Santa Barbara County,01/01/1990,1990,January,N,Final,188900,179700,9200,0.049
County,Santa Clara County,01/01/1990,1990,January,N,Final,847600,817800,29800,0.035
County,Santa Cruz County,01/01/1990,1990,January,N,Final,126800,115300,11500,0.091
County,Shasta County,01/01/1990,1990,January,N,Final,65300,58000,7300,0.112
County,Sierra County,01/01/1990,1990,January,N,Final,1570,1280,290,0.183
County,Siskiyou County,01/01/1990,1990,January,N,Final,19080,15930,3150,0.165
County,Solano County,01/01/1990,1990,January,N,Final,160000,152500,7600,0.047
County,Sonoma County,01/01/1990,1990,January,N,Final,202600,194500,8100,0.04
County,Stanislaus County,01/01/1990,1990,January,N,Final,172400,151000,21400,0.124
County,Sutter County,01/01/1990,1990,January,N,Final,30700,25500,5100,0.167
County,Tehama County,01/01/1990,1990,January,N,Final,19600,17650,1950,0.099
County,Trinity County,01/01/1990,1990,January,N,Final,5450,4420,1030,0.189
County,Tulare County,01/01/1990,1990,January,N,Final,135900,118600,17300,0.127
County,Tuolumne County,01/01/1990,1990,January,N,Final,18680,16970,1710,0.092
County,Ventura County,01/01/1990,1990,January,N,Final,358700,339300,19400,0.054
County,Yolo County,01/01/1990,1990,January,N,Final,71100,65100,6000,0.085
County,Yuba County,01/01/1990,1990,January,N,Final,20300,17800,2500,0.124
County,Alameda County,01/01/1991,1991,January,N,Final,673500,638800,34600,0.051
County,Alpine County,01/01/1991,1991,January,N,Final,540,510,30,0.052
County,Amador County,01/01/1991,1991,January,N,Final,11840,10840,990,0.084
County,Butte County,01/01/1991,1991,January,N,Final,78900,70400,8500,0.108
County,Calaveras County,01/01/1991,1991,January,N,Final,13840,12380,1460,0.105
County,Colusa County,01/01/1991,1991,January,N,Final,7780,5640,2140,0.275
County,Contra Costa County,01/01/1991,1991,January,N,Final,436300,413000,23300,0.053
County,Del Norte County,01/01/1991,1991,January,N,Final,9780,8430,1350,0.138
County,El Dorado County,01/01/1991,1991,January,N,Final,65300,60900,4400,0.068
County,Fresno County,01/01/1991,1991,January,N,Final,330300,280100,50300,0.152
County,Glenn County,01/01/1991,1991,January,N,Final,10800,8920,1890,0.175
County,Humboldt County,01/01/1991,1991,January,N,Final,56300,50200,6100,0.108
County,Imperial County,01/01/1991,1991,January,N,Final,48300,37100,11300,0.233
County,Inyo County,01/01/1991,1991,January,N,Final,7320,6590,730,0.1
County,Kern County,01/01/1991,1991,January,N,Final,260400,227100,33300,0.128
County,Kings County,01/01/1991,1991,January,N,Final,37600,31600,5900,0.158
County,Lake County,01/01/1991,1991,January,N,Final,19910,17490,2420,0.122
County,Lassen County,01/01/1991,1991,January,N,Final,10240,8690,1550,0.151
County,Los Angeles County,01/01/1991,1991,January,N,Final,4391300,4094300,297000,0.068
County,Los Angeles County,01/01/1991,1991,January,Y,Final,4450100,4141000,309100,0.069
County,Madera County,01/01/1991,1991,January,N,Final,42200,36100,6000,0.143
County,Marin County,01/01/1991,1991,January,N,Final,130200,125500,4700,0.036
County,Mariposa County,01/01/1991,1991,January,N,Final,6110,5470,640,0.105
County,Mendocino County,01/01/1991,1991,January,N,Final,38480,33350,5130,0.133
County,Merced County,01/01/1991,1991,January,N,Final,75900,62600,13300,0.175
County,Modoc County,01/01/1991,1991,January,N,Final,3660,3020,650,0.177
County,Mono County,01/01/1991,1991,January,N,Final,6390,5940,450,0.07
County,Monterey County,01/01/1991,1991,January,N,Final,171400,140700,30700,0.179
County,Napa County,01/01/1991,1991,January,N,Final,54400,50900,3400,0.063
County,Nevada County,01/01/1991,1991,January,N,Final,37440,34740,2700,0.072
County,Orange County,01/01/1991,1991,January,N,Final,1317400,1254100,63300,0.048
County,Placer County,01/01/1991,1991,January,N,Final,90900,84800,6100,0.067
County,Plumas County,01/01/1991,1991,January,N,Final,9170,7450,1720,0.187
County,Riverside County,01/01/1991,1991,January,N,Final,550100,498300,51700,0.094
County,Sacramento County,01/01/1991,1991,January,N,Final,524800,489900,34900,0.067
County,San Benito County,01/01/1991,1991,January,N,Final,19600,15700,4000,0.202
County,San Bernardino County,01/01/1991,1991,January,N,Final,646500,595900,50600,0.078
County,San Diego County,01/01/1991,1991,January,N,Final,1210100,1138000,72200,0.06
County,San Francisco County,01/01/1991,1991,January,N,Final,402600,383000,19700,0.049
County,San Joaquin County,01/01/1991,1991,January,N,Final,225500,194300,31100,0.138
County,San Luis Obispo County,01/01/1991,1991,January,N,Final,94000,87800,6200,0.066
County,San Mateo County,01/01/1991,1991,January,N,Final,364600,351700,12900,0.035
County,Santa Barbara County,01/01/1991,1991,January,N,Final,194000,181200,12800,0.066
County,Santa Clara County,01/01/1991,1991,January,N,Final,846300,800400,45900,0.054
County,Santa Cruz County,01/01/1991,1991,January,N,Final,133000,117500,15500,0.117
County,Shasta County,01/01/1991,1991,January,N,Final,68200,59000,9300,0.136
County,Sierra County,01/01/1991,1991,January,N,Final,1530,1250,290,0.186
County,Siskiyou County,01/01/1991,1991,January,N,Final,19120,15440,3690,0.193
County,Solano County,01/01/1991,1991,January,N,Final,164100,152800,11300,0.069
County,Sonoma County,01/01/1991,1991,January,N,Final,209700,197600,12100,0.058
County,Stanislaus County,01/01/1991,1991,January,N,Final,180100,151200,28900,0.16
County,Sutter County,01/01/1991,1991,January,N,Final,33300,26700,6700,0.2
County,Tehama County,01/01/1991,1991,January,N,Final,20680,17650,3030,0.146
County,Trinity County,01/01/1991,1991,January,N,Final,5210,4000,1210,0.232
County,Tulare County,01/01/1991,1991,January,N,Final,147700,118200,29400,0.199
County,Tuolumne County,01/01/1991,1991,January,N,Final,19850,17790,2070,0.104
County,Ventura County,01/01/1991,1991,January,N,Final,367100,338000,29000,0.079
County,Yolo County,01/01/1991,1991,January,N,Final,76700,69300,7300,0.096
County,Yuba County,01/01/1991,1991,January,N,Final,21600,18100,3500,0.161
County,Alameda County,01/01/1992,1992,January,N,Final,674200,631700,42500,0.063
County,Alpine County,01/01/1992,1992,January,N,Final,570,530,40,0.074
County,Amador County,01/01/1992,1992,January,N,Final,12730,11420,1310,0.103
County,Butte County,01/01/1992,1992,January,N,Final,79600,69900,9700,0.122
County,Calaveras County,01/01/1992,1992,January,N,Final,14330,12480,1850,0.129
County,Colusa County,01/01/1992,1992,January,N,Final,7620,5270,2340,0.308
County,Contra Costa County,01/01/1992,1992,January,N,Final,439700,412400,27300,0.062
County,Del Norte County,01/01/1992,1992,January,N,Final,9680,8180,1500,0.155
County,El Dorado County,01/01/1992,1992,January,N,Final,66700,60900,5800,0.087
County,Fresno County,01/01/1992,1992,January,N,Final,337300,280900,56300,0.167
County,Glenn County,01/01/1992,1992,January,N,Final,10850,8640,2210,0.204
County,Humboldt County,01/01/1992,1992,January,N,Final,57900,51400,6500,0.112
County,Imperial County,01/01/1992,1992,January,N,Final,49200,37700,11500,0.234
County,Inyo County,01/01/1992,1992,January,N,Final,7050,6220,830,0.118
County,Kern County,01/01/1992,1992,January,N,Final,266200,225900,40400,0.152
County,Kings County,01/01/1992,1992,January,N,Final,38900,32100,6800,0.175
County,Lake County,01/01/1992,1992,January,N,Final,21300,18370,2930,0.137
County,Lassen County,01/01/1992,1992,January,N,Final,10750,9190,1560,0.145
County,Los Angeles County,01/01/1992,1992,January,N,Final,4427600,4007700,419900,0.095
County,Los Angeles County,01/01/1992,1992,January,Y,Final,4464600,4062800,401800,0.09
County,Madera County,01/01/1992,1992,January,N,Final,44100,36800,7200,0.164
County,Marin County,01/01/1992,1992,January,N,Final,130300,124300,6000,0.046
County,Mariposa County,01/01/1992,1992,January,N,Final,6520,5760,760,0.117
County,Mendocino County,01/01/1992,1992,January,N,Final,38700,33130,5570,0.144
County,Merced County,01/01/1992,1992,January,N,Final,80700,65200,15500,0.192
County,Modoc County,01/01/1992,1992,January,N,Final,4000,3370,630,0.156
County,Mono County,01/01/1992,1992,January,N,Final,6500,6050,460,0.07
County,Monterey County,01/01/1992,1992,January,N,Final,173300,142500,30900,0.178
County,Napa County,01/01/1992,1992,January,N,Final,55900,51900,4000,0.071
County,Nevada County,01/01/1992,1992,January,N,Final,39030,35590,3440,0.088
County,Orange County,01/01/1992,1992,January,N,Final,1318300,1239900,78400,0.059
County,Placer County,01/01/1992,1992,January,N,Final,92500,84600,7900,0.085
County,Plumas County,01/01/1992,1992,January,N,Final,9290,7370,1930,0.208
County,Riverside County,01/01/1992,1992,January,N,Final,570400,510400,60000,0.105
County,Sacramento County,01/01/1992,1992,January,N,Final,524300,480000,44300,0.085
County,San Benito County,01/01/1992,1992,January,N,Final,20500,16300,4200,0.205
County,San Bernardino County,01/01/1992,1992,January,N,Final,667500,607500,60000,0.09
County,San Diego County,01/01/1992,1992,January,N,Final,1207000,1125400,81600,0.068
County,San Francisco County,01/01/1992,1992,January,N,Final,404100,378300,25800,0.064
County,San Joaquin County,01/01/1992,1992,January,N,Final,232000,196600,35300,0.152
County,San Luis Obispo County,01/01/1992,1992,January,N,Final,98200,90800,7400,0.075
County,San Mateo County,01/01/1992,1992,January,N,Final,367600,350500,17100,0.047
County,Santa Barbara County,01/01/1992,1992,January,N,Final,193100,178200,14900,0.077
County,Santa Clara County,01/01/1992,1992,January,N,Final,840700,785100,55700,0.066
County,Santa Cruz County,01/01/1992,1992,January,N,Final,133400,116900,16500,0.124
County,Shasta County,01/01/1992,1992,January,N,Final,71000,60800,10100,0.142
County,Sierra County,01/01/1992,1992,January,N,Final,1610,1330,280,0.171
County,Siskiyou County,01/01/1992,1992,January,N,Final,19120,15560,3560,0.186
County,Solano County,01/01/1992,1992,January,N,Final,168300,156000,12300,0.073
County,Sonoma County,01/01/1992,1992,January,N,Final,213400,198200,15200,0.071
County,Stanislaus County,01/01/1992,1992,January,N,Final,186000,154200,31800,0.171
County,Sutter County,01/01/1992,1992,January,N,Final,33000,25900,7100,0.216
County,Tehama County,01/01/1992,1992,January,N,Final,22620,19700,2920,0.129
County,Trinity County,01/01/1992,1992,January,N,Final,5090,3810,1270,0.25
County,Tulare County,01/01/1992,1992,January,N,Final,148400,120200,28300,0.19
County,Tuolumne County,01/01/1992,1992,January,N,Final,20500,18100,2400,0.117
County,Ventura County,01/01/1992,1992,January,N,Final,369100,336400,32700,0.089
County,Yolo County,01/01/1992,1992,January,N,Final,79800,72000,7800,0.098
County,Yuba County,01/01/1992,1992,January,N,Final,21400,17400,3900,0.184
County,Alameda County,01/01/1993,1993,January,N,Final,678200,632100,46100,0.068
County,Alpine County,01/01/1993,1993,January,N,Final,590,560,30,0.058
County,Amador County,01/01/1993,1993,January,N,Final,12810,11380,1430,0.112
County,Butte County,01/01/1993,1993,January,N,Final,80600,69200,11400,0.142
County,Calaveras County,01/01/1993,1993,January,N,Final,14950,12730,2220,0.149
County,Colusa County,01/01/1993,1993,January,N,Final,8140,5340,2810,0.345
County,Contra Costa County,01/01/1993,1993,January,N,Final,443900,412700,31200,0.07
County,Del Norte County,01/01/1993,1993,January,N,Final,9880,8160,1720,0.174
County,El Dorado County,01/01/1993,1993,January,N,Final,68200,61100,7100,0.104
County,Fresno County,01/01/1993,1993,January,N,Final,349200,286100,63100,0.181
County,Glenn County,01/01/1993,1993,January,N,Final,11270,8890,2380,0.211
County,Humboldt County,01/01/1993,1993,January,N,Final,59000,51900,7000,0.119
County,Imperial County,01/01/1993,1993,January,N,Final,54500,39100,15400,0.283
County,Inyo County,01/01/1993,1993,January,N,Final,7240,6340,900,0.124
County,Kern County,01/01/1993,1993,January,N,Final,266700,219400,47300,0.177
County,Kings County,01/01/1993,1993,January,N,Final,40400,32300,8100,0.2
County,Lake County,01/01/1993,1993,January,N,Final,22200,18780,3430,0.154
County,Lassen County,01/01/1993,1993,January,N,Final,11110,9300,1810,0.163
County,Los Angeles County,01/01/1993,1993,January,N,Final,4374800,3907300,467500,0.107
County,Los Angeles County,01/01/1993,1993,January,Y,Final,4402000,3946700,455300,0.103
County,Madera County,01/01/1993,1993,January,N,Final,45900,37500,8400,0.183
County,Marin County,01/01/1993,1993,January,N,Final,130900,123600,7300,0.056
County,Mariposa County,01/01/1993,1993,January,N,Final,6720,5780,940,0.139
County,Mendocino County,01/01/1993,1993,January,N,Final,38960,33100,5870,0.151
County,Merced County,01/01/1993,1993,January,N,Final,80600,63400,17200,0.213
County,Modoc County,01/01/1993,1993,January,N,Final,3870,3160,710,0.184
County,Mono County,01/01/1993,1993,January,N,Final,6630,6230,400,0.061
County,Monterey County,01/01/1993,1993,January,N,Final,175700,140600,35100,0.2
County,Napa County,01/01/1993,1993,January,N,Final,57600,52500,5100,0.089
County,Nevada County,01/01/1993,1993,January,N,Final,39800,35780,4020,0.101
County,Orange County,01/01/1993,1993,January,N,Final,1317400,1223400,94000,0.071
County,Placer County,01/01/1993,1993,January,N,Final,93600,84900,8700,0.093
County,Plumas County,01/01/1993,1993,January,N,Final,9110,7110,2010,0.22
County,Riverside County,01/01/1993,1993,January,N,Final,579300,508700,70500,0.122
County,Sacramento County,01/01/1993,1993,January,N,Final,528700,481600,47100,0.089
County,San Benito County,01/01/1993,1993,January,N,Final,21100,16400,4700,0.221
County,San Bernardino County,01/01/1993,1993,January,N,Final,675500,605500,70000,0.104
County,San Diego County,01/01/1993,1993,January,N,Final,1217400,1121100,96300,0.079
County,San Francisco County,01/01/1993,1993,January,N,Final,404500,376300,28200,0.07
County,San Joaquin County,01/01/1993,1993,January,N,Final,236700,198000,38700,0.163
County,San Luis Obispo County,01/01/1993,1993,January,N,Final,96400,87000,9400,0.097
County,San Mateo County,01/01/1993,1993,January,N,Final,368100,348600,19500,0.053
County,Santa Barbara County,01/01/1993,1993,January,N,Final,191800,174200,17600,0.092
County,Santa Clara County,01/01/1993,1993,January,N,Final,847700,786900,60800,0.072
County,Santa Cruz County,01/01/1993,1993,January,N,Final,135800,116200,19700,0.145
County,Shasta County,01/01/1993,1993,January,N,Final,73600,62000,11600,0.158
County,Sierra County,01/01/1993,1993,January,N,Final,1680,1420,260,0.156
County,Siskiyou County,01/01/1993,1993,January,N,Final,19220,15250,3970,0.207
County,Solano County,01/01/1993,1993,January,N,Final,173000,157600,15400,0.089
County,Sonoma County,01/01/1993,1993,January,N,Final,218700,201500,17200,0.079
County,Stanislaus County,01/01/1993,1993,January,N,Final,188100,153500,34600,0.184
County,Sutter County,01/01/1993,1993,January,N,Final,32500,25300,7200,0.221
County,Tehama County,01/01/1993,1993,January,N,Final,23240,19680,3560,0.153
County,Trinity County,01/01/1993,1993,January,N,Final,5190,4000,1180,0.228
County,Tulare County,01/01/1993,1993,January,N,Final,154600,123600,31000,0.201
County,Tuolumne County,01/01/1993,1993,January,N,Final,20540,17420,3120,0.152
County,Ventura County,01/01/1993,1993,January,N,Final,373700,336300,37500,0.1
County,Yolo County,01/01/1993,1993,January,N,Final,81300,72800,8500,0.105
County,Yuba County,01/01/1993,1993,January,N,Final,21700,17100,4700,0.215
County,Alameda County,01/01/1994,1994,January,N,Final,681500,635300,46300,0.068
County,Alpine County,01/01/1994,1994,January,N,Final,710,670,40,0.058
County,Amador County,01/01/1994,1994,January,N,Final,12530,11210,1320,0.105
County,Butte County,01/01/1994,1994,January,N,Final,79800,69500,10300,0.13
County,Calaveras County,01/01/1994,1994,January,N,Final,14770,12840,1930,0.131
County,Colusa County,01/01/1994,1994,January,N,Final,8010,5490,2520,0.315
County,Contra Costa County,01/01/1994,1994,January,N,Final,452100,421900,30100,0.067
County,Del Norte County,01/01/1994,1994,January,N,Final,10100,8780,1320,0.131
County,El Dorado County,01/01/1994,1994,January,N,Final,70800,64700,6100,0.086
County,Fresno County,01/01/1994,1994,January,N,Final,359700,299100,60600,0.169
County,Glenn County,01/01/1994,1994,January,N,Final,11480,9290,2200,0.191
County,Humboldt County,01/01/1994,1994,January,N,Final,59500,53100,6400,0.108
County,Imperial County,01/01/1994,1994,January,N,Final,57200,41900,15300,0.268
County,Inyo County,01/01/1994,1994,January,N,Final,7050,6130,920,0.13
County,Kern County,01/01/1994,1994,January,N,Final,267000,222000,44900,0.168
County,Kings County,01/01/1994,1994,January,N,Final,39900,32700,7200,0.18
County,Lake County,01/01/1994,1994,January,N,Final,22160,18900,3260,0.147
County,Lassen County,01/01/1994,1994,January,N,Final,11390,9580,1810,0.159
County,Los Angeles County,01/01/1994,1994,January,N,Final,4276600,3826100,450500,0.105
County,Los Angeles County,01/01/1994,1994,January,Y,Final,4293100,3865500,427600,0.1
County,Madera County,01/01/1994,1994,January,N,Final,48400,40200,8300,0.17
County,Marin County,01/01/1994,1994,January,N,Final,129600,122900,6700,0.051
County,Mariposa County,01/01/1994,1994,January,N,Final,6820,5830,990,0.145
County,Mendocino County,01/01/1994,1994,January,N,Final,39780,34650,5130,0.129
County,Merced County,01/01/1994,1994,January,N,Final,83700,66800,16900,0.202
County,Modoc County,01/01/1994,1994,January,N,Final,4090,3420,670,0.163
County,Mono County,01/01/1994,1994,January,N,Final,6880,6350,540,0.078
County,Monterey County,01/01/1994,1994,January,N,Final,176500,141600,34900,0.198
County,Napa County,01/01/1994,1994,January,N,Final,56900,52400,4500,0.08
County,Nevada County,01/01/1994,1994,January,N,Final,41660,38060,3610,0.087
County,Orange County,01/01/1994,1994,January,N,Final,1329100,1240600,88500,0.067
County,Placer County,01/01/1994,1994,January,N,Final,98600,91000,7600,0.077
County,Plumas County,01/01/1994,1994,January,N,Final,9510,7410,2110,0.221
County,Riverside County,01/01/1994,1994,January,N,Final,598800,530400,68400,0.114
County,Sacramento County,01/01/1994,1994,January,N,Final,532900,488700,44200,0.083
County,San Benito County,01/01/1994,1994,January,N,Final,20600,16800,3900,0.187
County,San Bernardino County,01/01/1994,1994,January,N,Final,677200,608700,68400,0.101
County,San Diego County,01/01/1994,1994,January,N,Final,1229600,1135000,94600,0.077
County,San Francisco County,01/01/1994,1994,January,N,Final,404300,375000,29200,0.072
County,San Joaquin County,01/01/1994,1994,January,N,Final,238600,201600,37000,0.155
County,San Luis Obispo County,01/01/1994,1994,January,N,Final,96600,88200,8500,0.088
County,San Mateo County,01/01/1994,1994,January,N,Final,370300,351300,19000,0.051
County,Santa Barbara County,01/01/1994,1994,January,N,Final,194900,177700,17200,0.088
County,Santa Clara County,01/01/1994,1994,January,N,Final,857300,796100,61200,0.071
County,Santa Cruz County,01/01/1994,1994,January,N,Final,136400,117100,19200,0.141
County,Shasta County,01/01/1994,1994,January,N,Final,73300,62800,10500,0.144
County,Sierra County,01/01/1994,1994,January,N,Final,1700,1380,310,0.183
County,Siskiyou County,01/01/1994,1994,January,N,Final,19110,15560,3550,0.186
County,Solano County,01/01/1994,1994,January,N,Final,172200,157300,14900,0.087
County,Sonoma County,01/01/1994,1994,January,N,Final,220800,205900,14900,0.068
County,Stanislaus County,01/01/1994,1994,January,N,Final,191500,155900,35600,0.186
County,Sutter County,01/01/1994,1994,January,N,Final,34100,26800,7200,0.212
County,Tehama County,01/01/1994,1994,January,N,Final,23210,19950,3250,0.14
County,Trinity County,01/01/1994,1994,January,N,Final,5240,4120,1120,0.213
County,Tulare County,01/01/1994,1994,January,N,Final,159400,128600,30900,0.194
County,Tuolumne County,01/01/1994,1994,January,N,Final,20740,18020,2720,0.131
County,Ventura County,01/01/1994,1994,January,N,Final,378600,344400,34100,0.09
County,Yolo County,01/01/1994,1994,January,N,Final,84800,76900,7900,0.093
County,Yuba County,01/01/1994,1994,January,N,Final,21800,17500,4300,0.196
County,Alameda County,01/01/1995,1995,January,N,Final,673000,634600,38400,0.057
County,Alpine County,01/01/1995,1995,January,N,Final,810,770,40,0.053
County,Amador County,01/01/1995,1995,January,N,Final,12740,11510,1240,0.097
County,Butte County,01/01/1995,1995,January,N,Final,81200,71700,9500,0.117
County,Calaveras County,01/01/1995,1995,January,N,Final,13970,12180,1800,0.129
County,Colusa County,01/01/1995,1995,January,N,Final,8300,5610,2690,0.324
County,Contra Costa County,01/01/1995,1995,January,N,Final,452600,424500,28100,0.062
County,Del Norte County,01/01/1995,1995,January,N,Final,10090,8680,1410,0.14
County,El Dorado County,01/01/1995,1995,January,N,Final,72500,66800,5700,0.079
County,Fresno County,01/01/1995,1995,January,N,Final,358500,302000,56500,0.158
County,Glenn County,01/01/1995,1995,January,N,Final,11810,9550,2270,0.192
County,Humboldt County,01/01/1995,1995,January,N,Final,59500,53500,6000,0.101
County,Imperial County,01/01/1995,1995,January,N,Final,55500,43000,12400,0.224
County,Inyo County,01/01/1995,1995,January,N,Final,6910,6160,750,0.108
County,Kern County,01/01/1995,1995,January,N,Final,267400,227500,39900,0.149
County,Kings County,01/01/1995,1995,January,N,Final,40800,33200,7600,0.186
County,Lake County,01/01/1995,1995,January,N,Final,23440,20300,3150,0.134
County,Lassen County,01/01/1995,1995,January,N,Final,11040,9440,1600,0.145
County,Los Angeles County,01/01/1995,1995,January,N,Final,4253500,3891300,362200,0.085
County,Los Angeles County,01/01/1995,1995,January,Y,Final,4276600,3938700,337900,0.079
County,Madera County,01/01/1995,1995,January,N,Final,48600,40900,7700,0.158
County,Marin County,01/01/1995,1995,January,N,Final,127900,122000,5900,0.046
County,Mariposa County,01/01/1995,1995,January,N,Final,6820,5930,890,0.13
County,Mendocino County,01/01/1995,1995,January,N,Final,40470,35160,5310,0.131
County,Merced County,01/01/1995,1995,January,N,Final,81800,66500,15400,0.188
County,Modoc County,01/01/1995,1995,January,N,Final,4160,3470,700,0.167
County,Mono County,01/01/1995,1995,January,N,Final,6820,6350,470,0.069
County,Monterey County,01/01/1995,1995,January,N,Final,173000,140300,32700,0.189
County,Napa County,01/01/1995,1995,January,N,Final,57400,52600,4800,0.084
County,Nevada County,01/01/1995,1995,January,N,Final,41140,37790,3340,0.081
County,Orange County,01/01/1995,1995,January,N,Final,1317500,1249300,68200,0.052
County,Placer County,01/01/1995,1995,January,N,Final,102500,95200,7300,0.071
County,Plumas County,01/01/1995,1995,January,N,Final,9310,7470,1830,0.197
County,Riverside County,01/01/1995,1995,January,N,Final,608200,549600,58600,0.096
County,Sacramento County,01/01/1995,1995,January,N,Final,534600,495400,39300,0.073
County,San Benito County,01/01/1995,1995,January,N,Final,21900,18200,3700,0.17
County,San Bernardino County,01/01/1995,1995,January,N,Final,675500,622200,53300,0.079
County,San Diego County,01/01/1995,1995,January,N,Final,1214200,1134400,79800,0.066
County,San Francisco County,01/01/1995,1995,January,N,Final,393900,370700,23300,0.059
County,San Joaquin County,01/01/1995,1995,January,N,Final,236700,203800,32900,0.139
County,San Luis Obispo County,01/01/1995,1995,January,N,Final,101300,93000,8200,0.081
County,San Mateo County,01/01/1995,1995,January,N,Final,367000,351000,16000,0.044
County,Santa Barbara County,01/01/1995,1995,January,N,Final,193100,176900,16200,0.084
County,Santa Clara County,01/01/1995,1995,January,N,Final,846400,797600,48900,0.058
County,Santa Cruz County,01/01/1995,1995,January,N,Final,136200,118400,17800,0.131
County,Shasta County,01/01/1995,1995,January,N,Final,72300,62200,10100,0.14
County,Sierra County,01/01/1995,1995,January,N,Final,1590,1360,230,0.146
County,Siskiyou County,01/01/1995,1995,January,N,Final,18730,15280,3450,0.184
County,Solano County,01/01/1995,1995,January,N,Final,169700,154900,14800,0.087
County,Sonoma County,01/01/1995,1995,January,N,Final,222500,206900,15600,0.07
County,Stanislaus County,01/01/1995,1995,January,N,Final,187700,156400,31300,0.167
County,Sutter County,01/01/1995,1995,January,N,Final,33700,27100,6600,0.196
County,Tehama County,01/01/1995,1995,January,N,Final,23870,20660,3210,0.135
County,Trinity County,01/01/1995,1995,January,N,Final,5210,4200,1010,0.194
County,Tulare County,01/01/1995,1995,January,N,Final,158100,129700,28400,0.18
County,Tuolumne County,01/01/1995,1995,January,N,Final,20350,17730,2620,0.129
County,Ventura County,01/01/1995,1995,January,N,Final,381200,349700,31500,0.083
County,Yolo County,01/01/1995,1995,January,N,Final,85600,77800,7800,0.091
County,Yuba County,01/01/1995,1995,January,N,Final,20700,17000,3700,0.179
County,Alameda County,01/01/1996,1996,January,N,Final,669900,632100,37800,0.056
County,Alpine County,01/01/1996,1996,January,N,Final,710,660,60,0.08
County,Amador County,01/01/1996,1996,January,N,Final,12870,11720,1160,0.09
County,Butte County,01/01/1996,1996,January,N,Final,79900,70900,9000,0.113
County,Calaveras County,01/01/1996,1996,January,N,Final,13840,12210,1630,0.118
County,Colusa County,01/01/1996,1996,January,N,Final,8620,5860,2750,0.32
